"","id","run","nifti"
"46",213708,2,"nfas-sub-213708_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"47",215211,1,"nfas-sub-215211_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"48",215211,2,"nfas-sub-215211_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"49",215537,1,"nfas-sub-215537_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"50",215537,2,"nfas-sub-215537_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"51",215622,1,"nfas-sub-215622_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"52",215622,2,"nfas-sub-215622_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"53",216011,1,"nfas-sub-216011_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"54",216011,2,"nfas-sub-216011_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"55",216028,1,"nfas-sub-216028_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"56",216028,2,"nfas-sub-216028_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"57",216806,1,"nfas-sub-216806_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"58",216806,2,"nfas-sub-216806_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"59",216845,1,"nfas-sub-216845_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"60",216845,2,"nfas-sub-216845_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"61",217008,1,"nfas-sub-217008_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"62",217008,2,"nfas-sub-217008_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"63",217173,1,"nfas-sub-217173_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"64",217173,2,"nfas-sub-217173_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"65",218219,1,"nfas-sub-218219_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"66",218219,2,"nfas-sub-218219_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"67",218572,1,"nfas-sub-218572_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"68",218572,2,"nfas-sub-218572_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"69",219044,1,"nfas-sub-219044_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"70",219044,2,"nfas-sub-219044_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"71",219089,1,"nfas-sub-219089_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"72",219089,2,"nfas-sub-219089_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"73",219392,1,"nfas-sub-219392_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"74",219392,2,"nfas-sub-219392_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"75",219658,1,"nfas-sub-219658_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"76",219658,2,"nfas-sub-219658_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"77",219676,1,"nfas-sub-219676_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"78",219676,2,"nfas-sub-219676_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"79",219944,1,"nfas-sub-219944_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"80",219944,2,"nfas-sub-219944_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"81",219949,1,"nfas-sub-219949_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"82",219949,2,NA
"83",219954,1,"nfas-sub-219954_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"84",219954,2,"nfas-sub-219954_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"85",220024,1,"nfas-sub-220024_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"86",220024,2,"nfas-sub-220024_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"87",220043,1,"nfas-sub-220043_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"88",220043,2,"nfas-sub-220043_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"89",220104,1,"nfas-sub-220104_task-clockRev_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
"90",220104,2,"nfas-sub-220104_task-clockRev_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
