#Subj:	333
#Run:	1
#Group:	1
#Task Version:	rev
#Reversal:	0
Contingency Scheme:	IDI
#23-Sep-2022
Run	Trial	Func	Emotion	Mag	Prob	Score	EV	RT	Clock_Onset	ISI_Onset	Feedback_Onset	ITI_Onset	ITI_Ideal	Image
1	36	IEV	clock_face	 100	4.859084e-01	   0	4.861837e+01	3476	9.217075e+01	9.566421e+01	9.570409e+01	9.659849e+01	2.000000e-01	clock_face_1.png
1	37	IEV	clock_face	  70	6.076406e-01	  70	4.226011e+01	2878	9.680369e+01	9.969949e+01	9.973684e+01	1.006338e+02	2.000000e-01	clock_face_1.png
1	38	IEV	clock_face	  70	6.048982e-01	  70	4.242191e+01	2892	1.008414e+02	1.037503e+02	1.037885e+02	1.046857e+02	2.000000e-01	clock_face_1.png
1	39	IEV	clock_face	  72	5.954433e-01	  72	4.297271e+01	2940	1.048913e+02	1.078345e+02	1.078893e+02	1.087841e+02	1.000000e-01	clock_face_1.png
1	40	IEV	clock_face	  72	5.942560e-01	   0	4.304112e+01	2946	1.088899e+02	1.118520e+02	1.118916e+02	1.127877e+02	2.000000e-01	clock_face_1.png
1	41	DEV	clock_face	  82	3.717917e-01	  82	3.040228e+01	2859	1.129944e+02	1.158695e+02	1.159254e+02	1.168055e+02	1.000000e-01	clock_face_1.png
1	42	DEV	clock_face	  82	3.628049e-01	   0	2.976893e+01	2960	1.169124e+02	1.198880e+02	1.199365e+02	1.208254e+02	3.000000e-01	clock_face_1.png
1	43	DEV	clock_face	  81	3.891747e-01	  81	3.161714e+01	2675	1.211312e+02	1.238221e+02	1.238618e+02	1.247581e+02	9.000000e-01	clock_face_1.png
1	44	DEV	clock_face	  82	3.702539e-01	   0	3.029417e+01	2876	1.256642e+02	1.285563e+02	1.285954e+02	1.294922e+02	2.000000e-01	clock_face_1.png
1	45	DEV	clock_face	  81	3.809690e-01	   0	3.104525e+01	2760	1.296982e+02	1.324740e+02	1.325147e+02	1.334104e+02	1.000000e-01	clock_face_1.png
1	46	DEV	clock_face	  77	5.310584e-01	  77	4.108894e+01	1592	1.335160e+02	1.351254e+02	1.351632e+02	1.360597e+02	5.000000e-01	clock_face_1.png
1	47	DEV	clock_face	  78	4.885123e-01	  78	3.833537e+01	1859	1.365678e+02	1.384420e+02	1.384824e+02	1.393786e+02	3.000000e-01	clock_face_1.png
1	48	DEV	clock_face	  79	4.786928e-01	  79	3.768852e+01	1926	1.396842e+02	1.416261e+02	1.416657e+02	1.425620e+02	4.000000e-01	clock_face_1.png
1	49	DEV	clock_face	  78	4.880654e-01	   0	3.830603e+01	1862	1.429670e+02	1.448452e+02	1.448839e+02	1.457810e+02	1.000000e-01	clock_face_1.png
1	50	DEV	clock_face	  83	3.447909e-01	  83	2.848677e+01	3174	1.458871e+02	1.490793e+02	1.491166e+02	1.500128e+02	6.000000e-01	clock_face_1.png
1	51	DEV	clock_face	  83	3.286305e-01	  83	2.731944e+01	3377	1.506209e+02	1.540126e+02	1.540535e+02	1.549497e+02	2.000000e-01	clock_face_1.png
1	52	DEV	clock_face	  83	3.301163e-01	   0	2.742753e+01	3358	1.551560e+02	1.585313e+02	1.585695e+02	1.594660e+02	1.100000e+00	clock_face_1.png
1	53	DEV	clock_face	  75	6.299659e-01	  75	4.712770e+01	1074	1.605739e+02	1.616658e+02	1.617032e+02	1.626001e+02	1.200000e+00	clock_face_1.png
1	54	DEV	clock_face	  75	6.365803e-01	   0	4.751030e+01	1043	1.638065e+02	1.648668e+02	1.649047e+02	1.658015e+02	1.000000e-01	clock_face_1.png
1	55	DEV	clock_face	  76	6.018718e-01	   0	4.547056e+01	1210	1.659074e+02	1.671334e+02	1.671731e+02	1.680694e+02	1.200000e+00	clock_face_1.png
1	56	DEV	clock_face	  74	6.518009e-01	   0	4.837910e+01	 973	1.692777e+02	1.702668e+02	1.703054e+02	1.712027e+02	   1	clock_face_1.png
1	57	DEV	clock_face	  74	6.626885e-01	  74	4.899022e+01	 924	1.722111e+02	1.731506e+02	1.731898e+02	1.740871e+02	5.000000e-01	clock_face_1.png
1	58	DEV	clock_face	  75	6.408889e-01	   0	4.775790e+01	1023	1.745950e+02	1.756364e+02	1.756735e+02	1.765698e+02	3.000000e-01	clock_face_1.png
1	59	DEV	clock_face	  75	6.295418e-01	  75	4.710307e+01	1076	1.768765e+02	1.779697e+02	1.780079e+02	1.789043e+02	1.000000e-01	clock_face_1.png
